scenario,priority_type,priority_growth_rate,capacity,max,capacity_ratio,tracing_delay,vaccinated,priority,samples_isol_swab,samples_test_turnaround_time,samples_time_to_interview
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,4,FALSE,FALSE,1,3,0
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,1,FALSE,FALSE,0,1,0
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,2,FALSE,FALSE,0,1,1
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,1,FALSE,TRUE,0,0,1
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,3,FALSE,TRUE,1,1,1
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,2,FALSE,FALSE,0,1,1
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,3,FALSE,FALSE,1,1,1
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,2,FALSE,FALSE,0,1,1
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,4,FALSE,TRUE,2,1,1
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,3,FALSE,FALSE,1,1,1
optimal_vaccine_new_swab_delay_poisson1_capacity100pc_max_5d,vaccine_new_swab,delay_poisson1,capacity100pc,max_5d,1,2,FALSE,TRUE,0,1,1
